Sede,Invoice No,Date,Line,Product Code,Invoice Quantity,Unit Cost,Net Unit Price,Price List,Price Limit,Price Std,Category Name,Total
DEL,DEL1016,14/02/2025,20,ELÉ-489,6,25.44,50.74,55.81,48.2,50.74,Eléctrico,304.44
DEL,DEL1016,14/02/2025,30,CEM-973,5,38.0,46.77,51.45,44.43,46.77,Cemento,233.85
DEL,DEL1016,14/02/2025,40,ELÉ-919,6,34.25,65.08,71.59,61.83,65.08,Eléctrico,390.48
DEL,DEL1017,20/05/2025,10,CEM-444,5,14.55,19.05,20.96,18.1,19.05,Cemento,95.25
DEL,DEL1017,20/05/2025,20,TUB-230,5,32.93,54.02,59.42,51.32,54.02,Tuberías,270.1
DEL,DEL1017,20/05/2025,30,HER-677,6,23.69,44.36,48.8,42.14,44.36,Herramientas,266.16
DEL,DEL1018,22/02/2025,10,PLY-151,3,20.0,41.22,45.34,39.16,41.22,Plywood,123.66
DEL,DEL1018,22/02/2025,20,PLY-879,4,16.46,29.93,32.92,28.43,29.93,Plywood,119.72
DEL,DEL1019,13/06/2025,10,PIN-581,2,34.12,46.71,51.38,44.37,46.71,Pinturas,93.42
DEL,DEL1019,13/06/2025,20,PLY-329,4,23.88,51.09,56.2,48.54,51.09,Plywood,204.36
DEL,DEL1019,13/06/2025,30,TUB-353,2,32.34,51.91,57.1,49.31,51.91,Tuberías,103.82
DEL,DEL1019,13/06/2025,40,PLY-584,3,5.71,9.37,10.31,8.9,9.37,Plywood,28.11
DEL,DEL1020,22/12/2025,10,TUB-271,4,12.63,20.57,22.63,19.54,20.57,Tuberías,82.28
DEL,DEL1020,22/12/2025,20,TUB-418,3,38.73,63.42,69.76,60.25,63.42,Tuberías,190.26
DEL,DEL1021,04/08/2025,10,FER-506,5,25.15,58.64,64.5,55.71,58.64,Ferretería,293.2
DEL,DEL1021,04/08/2025,20,ACA-204,3,11.94,16.82,18.5,15.98,16.82,Acabados,50.46
DEL,DEL1022,23/08/2025,10,ACE-901,6,26.01,44.11,48.52,41.9,44.11,Acero,264.66
DEL,DEL1022,23/08/2025,20,PLY-618,2,23.65,45.89,50.48,43.6,45.89,Plywood,91.78
DEL,DEL1022,23/08/2025,30,TUB-208,5,5.44,8.12,8.93,7.71,8.12,Tuberías,40.6
DEL,DEL1022,23/08/2025,40,CEM-824,5,17.68,26.16,28.78,24.85,26.16,Cemento,130.8
DEL,DEL1023,05/05/2025,10,PLY-927,6,23.26,44.98,49.48,42.73,44.98,Plywood,269.88
DEL,DEL1023,05/05/2025,20,FER-374,6,32.11,65.51,72.06,62.23,65.51,Ferretería,393.06
DEL,DEL1023,05/05/2025,30,PLY-561,4,13.59,28.55,31.41,27.12,28.55,Plywood,114.2
DEL,DEL1023,05/05/2025,40,PLY-444,5,21.26,40.61,44.67,38.58,40.61,Plywood,203.05
DEL,DEL1023,05/05/2025,50,PLY-463,3,34.78,57.67,63.44,54.79,57.67,Plywood,173.01
DEL,DEL1024,26/06/2025,10,PLY-669,4,35.81,70.32,77.35,66.8,70.32,Plywood,281.28
DEL,DEL1024,26/06/2025,20,PLY-600,5,38.18,61.14,67.25,58.08,61.14,Plywood,305.7
DEL,DEL1024,26/06/2025,30,TUB-558,5,13.41,20.37,22.41,19.35,20.37,Tuberías,101.85
DEL,DEL1024,26/06/2025,40,ACE-413,3,8.26,14.52,15.97,13.79,14.52,Acero,43.56
DEL,DEL1025,22/04/2026,10,CEM-438,6,23.58,30.28,33.31,28.77,30.28,Cemento,181.68
DEL,DEL1025,22/04/2026,20,PLY-223,3,20.88,36.15,39.77,34.34,36.15,Plywood,108.45
DEL,DEL1025,22/04/2026,30,PIN-296,3,16.04,25.69,28.26,24.41,25.69,Pinturas,77.07
DEL,DEL1025,22/04/2026,40,PLY-711,6,21.95,43.4,47.74,41.23,43.4,Plywood,260.4
DEL,DEL1026,10/12/2025,10,ACE-114,4,15.37,28.33,31.16,26.91,28.33,Acero,113.32
DEL,DEL1026,10/12/2025,20,PIN-666,2,9.43,11.98,13.18,11.38,11.98,Pinturas,23.96
DEL,DEL1027,10/11/2025,10,TUB-687,2,31.35,41.91,46.1,39.81,41.91,Tuberías,83.82
DEL,DEL1027,10/11/2025,20,PLY-358,2,21.75,38.1,41.91,36.2,38.1,Plywood,76.2
DEL,DEL1027,10/11/2025,30,ACA-603,5,21.72,32.78,36.06,31.14,32.78,Acabados,163.9
DEL,DEL1028,03/05/2025,10,PLY-354,2,33.39,70.44,77.48,66.92,70.44,Plywood,140.88
DEL,DEL1028,03/05/2025,20,PLY-331,6,31.76,60.59,66.65,57.56,60.59,Plywood,363.54
DEL,DEL1029,25/01/2026,10,CEM-412,5,20.5,30.06,33.07,28.56,30.06,Cemento,150.3
DEL,DEL1029,25/01/2026,20,TUB-881,2,7.11,12.48,13.73,11.86,12.48,Tuberías,24.96
DEL,DEL1029,25/01/2026,30,PLY-345,3,12.39,24.03,26.43,22.83,24.03,Plywood,72.09
DEL,DEL1029,25/01/2026,40,PLY-805,5,7.63,11.85,13.04,11.26,11.85,Plywood,59.25
DEL,DEL1029,25/01/2026,50,TUB-819,4,15.19,21.26,23.39,20.2,21.26,Tuberías,85.04
DEL,DEL1030,28/04/2025,10,PLY-777,6,13.17,22.48,24.73,21.36,22.48,Plywood,134.88
DEL,DEL1030,28/04/2025,20,ACE-763,3,11.92,20.17,22.19,19.16,20.17,Acero,60.51
DEL,DEL1030,28/04/2025,30,PLY-269,2,14.3,23.38,25.72,22.21,23.38,Plywood,46.76
DEL,DEL1030,28/04/2025,40,ACE-549,4,25.83,54.98,60.48,52.23,54.98,Acero,219.92
DEL,DEL1030,28/04/2025,50,PLY-612,4,29.1,57.12,62.83,54.26,57.12,Plywood,228.48
DEL,DEL1031,18/08/2025,10,CEM-718,4,25.93,38.34,42.17,36.42,38.34,Cemento,153.36
DEL,DEL1031,18/08/2025,20,PLY-701,6,8.2,17.36,19.1,16.49,17.36,Plywood,104.16
DEL,DEL1031,18/08/2025,30,ACA-690,4,39.99,57.74,63.51,54.85,57.74,Acabados,230.96
DEL,DEL1031,18/08/2025,40,PLY-384,5,31.47,57.52,63.27,54.64,57.52,Plywood,287.6
DEL,DEL1031,18/08/2025,50,PLY-193,5,25.49,49.06,53.97,46.61,49.06,Plywood,245.3
DEL,DEL1032,16/06/2026,10,CEM-437,3,16.24,18.67,20.54,17.74,18.67,Cemento,56.01
DEL,DEL1032,16/06/2026,20,CEM-933,5,22.34,30.91,34.0,29.36,30.91,Cemento,154.55
DEL,DEL1032,16/06/2026,30,PIN-431,4,6.28,8.11,8.92,7.7,8.11,Pinturas,32.44
DEL,DEL1032,16/06/2026,40,PLY-773,2,32.04,66.0,72.6,62.7,66.0,Plywood,132.0
DEL,DEL1033,28/12/2025,10,CEM-740,5,11.57,14.55,16.01,13.82,14.55,Cemento,72.75
DEL,DEL1033,28/12/2025,20,CEM-394,3,6.81,8.29,9.12,7.88,8.29,Cemento,24.87
DEL,DEL1033,28/12/2025,30,CEM-918,6,29.44,34.05,37.45,32.35,34.05,Cemento,204.3
DEL,DEL1033,28/12/2025,40,PLY-517,6,10.54,19.76,21.74,18.77,19.76,Plywood,118.56
DEL,DEL1033,28/12/2025,50,PLY-220,5,39.73,82.96,91.26,78.81,82.96,Plywood,414.8
DEL,DEL1034,21/11/2025,10,CEM-525,4,30.08,39.68,43.65,37.7,39.68,Cemento,158.72
DEL,DEL1034,21/11/2025,20,ACE-248,6,39.31,69.63,76.59,66.15,69.63,Acero,417.78
DEL,DEL1034,21/11/2025,30,PLY-984,3,37.27,68.95,75.85,65.5,68.95,Plywood,206.85
DEL,DEL1035,03/12/2025,10,PIN-373,6,34.9,49.22,54.14,46.76,49.22,Pinturas,295.32
DEL,DEL1035,03/12/2025,20,ACE-693,6,14.9,26.9,29.59,25.55,26.9,Acero,161.4
DEL,DEL1035,03/12/2025,30,SEG-595,6,22.14,25.94,28.53,24.64,25.94,Seguridad,155.64
DEL,DEL1035,03/12/2025,40,PLY-429,5,24.32,45.5,50.05,43.23,45.5,Plywood,227.5
DEL,DEL1036,28/03/2026,10,HER-144,5,13.36,21.32,23.45,20.25,21.32,Herramientas,106.6
DEL,DEL1036,28/03/2026,20,PLY-495,5,21.55,45.01,49.51,42.76,45.01,Plywood,225.05
DEL,DEL1036,28/03/2026,30,HER-607,3,32.73,56.88,62.57,54.04,56.88,Herramientas,170.64
DEL,DEL1037,02/02/2026,10,CEM-202,5,25.66,37.73,41.5,35.84,37.73,Cemento,188.65
DEL,DEL1037,02/02/2026,20,CEM-991,5,20.99,29.57,32.53,28.09,29.57,Cemento,147.85
DEL,DEL1037,02/02/2026,30,TUB-446,4,10.4,15.77,17.35,14.98,15.77,Tuberías,63.08
DEL,DEL1038,20/05/2025,10,TUB-489,6,34.81,59.28,65.21,56.32,59.28,Tuberías,355.68
DEL,DEL1038,20/05/2025,20,ACA-993,5,26.94,41.43,45.57,39.36,41.43,Acabados,207.15
DEL,DEL1038,20/05/2025,30,CEM-332,4,26.61,32.04,35.24,30.44,32.04,Cemento,128.16
DEL,DEL1038,20/05/2025,40,PIN-554,2,20.19,26.17,28.79,24.86,26.17,Pinturas,52.34
DEL,DEL1038,20/05/2025,50,PLY-915,4,15.48,24.27,26.7,23.06,24.27,Plywood,97.08
DEL,DEL1039,02/01/2025,10,PLY-679,5,20.07,34.01,37.41,32.31,34.01,Plywood,170.05
DEL,DEL1039,02/01/2025,20,TUB-991,6,11.3,15.51,17.06,14.73,15.51,Tuberías,93.06
DEL,DEL1039,02/01/2025,30,PLY-246,6,28.91,53.31,58.64,50.64,53.31,Plywood,319.86
DEL,DEL1039,02/01/2025,40,PLY-923,2,27.33,49.78,54.76,47.29,49.78,Plywood,99.56
DEL,DEL1040,15/07/2025,10,TUB-701,4,10.53,15.82,17.4,15.03,15.82,Tuberías,63.28
DEL,DEL1040,15/07/2025,20,PLY-965,5,38.67,75.69,83.26,71.91,75.69,Plywood,378.45
DEL,DEL1040,15/07/2025,30,PLY-342,2,39.98,82.08,90.29,77.98,82.08,Plywood,164.16
DEL,DEL1040,15/07/2025,40,PLY-122,4,17.56,30.29,33.32,28.78,30.29,Plywood,121.16
DEL,DEL1041,27/06/2025,10,PLY-720,2,24.81,48.49,53.34,46.07,48.49,Plywood,96.98
DEL,DEL1041,27/06/2025,20,PIN-721,3,34.15,57.28,63.01,54.42,57.28,Pinturas,171.84
DEL,DEL1041,27/06/2025,30,ACE-794,4,12.67,22.03,24.23,20.93,22.03,Acero,88.12
DEL,DEL1041,27/06/2025,40,PIN-743,3,31.86,50.08,55.09,47.58,50.08,Pinturas,150.24
DEL,DEL1041,27/06/2025,50,PLY-134,5,26.96,42.44,46.68,40.32,42.44,Plywood,212.2
DEL,DEL1042,19/05/2025,10,PIN-279,5,8.15,11.32,12.45,10.75,11.32,Pinturas,56.6
DEL,DEL1042,19/05/2025,20,PLY-643,4,32.53,67.23,73.95,63.87,67.23,Plywood,268.92
DEL,DEL1042,19/05/2025,30,CEM-925,5,14.54,17.08,18.79,16.23,17.08,Cemento,85.4
DEL,DEL1042,19/05/2025,40,PLY-177,5,35.46,71.78,78.96,68.19,71.78,Plywood,358.9
DEL,DEL1043,05/05/2026,10,ACE-474,6,30.35,67.5,74.25,64.12,67.5,Acero,405.0
DEL,DEL1043,05/05/2026,20,PLY-565,2,18.81,32.1,35.31,30.5,32.1,Plywood,64.2
DEL,DEL1043,05/05/2026,30,PLY-942,5,31.22,53.24,58.56,50.58,53.24,Plywood,266.2
DEL,DEL1044,21/03/2026,10,PLY-435,6,13.18,20.64,22.7,19.61,20.64,Plywood,123.84
DEL,DEL1044,21/03/2026,20,FER-817,5,12.75,22.64,24.9,21.51,22.64,Ferretería,113.2
DEL,DEL1044,21/03/2026,30,PLY-411,2,19.29,31.51,34.66,29.93,31.51,Plywood,63.02
DEL,DEL1044,21/03/2026,40,SEG-238,6,9.06,10.94,12.03,10.39,10.94,Seguridad,65.64
DEL,DEL1045,13/07/2025,10,PLY-529,6,38.23,74.96,82.46,71.21,74.96,Plywood,449.76
DEL,DEL1045,13/07/2025,20,TUB-953,2,30.43,52.31,57.54,49.69,52.31,Tuberías,104.62
DEL,DEL1045,13/07/2025,30,CEM-806,2,19.28,29.01,31.91,27.56,29.01,Cemento,58.02
DEL,DEL1045,13/07/2025,40,PLY-201,4,20.52,43.3,47.63,41.13,43.3,Plywood,173.2
DEL,DEL1045,13/07/2025,50,HER-162,4,17.86,33.4,36.74,31.73,33.4,Herramientas,133.6
DEL,DEL1046,13/12/2025,10,PLY-193,5,9.28,19.02,20.92,18.07,19.02,Plywood,95.1
DEL,DEL1046,13/12/2025,20,TUB-151,2,27.46,43.34,47.67,41.17,43.34,Tuberías,86.68
DEL,DEL1046,13/12/2025,30,ACE-310,6,13.52,22.97,25.27,21.82,22.97,Acero,137.82
DEL,DEL1046,13/12/2025,40,PLY-932,3,31.78,53.17,58.49,50.51,53.17,Plywood,159.51
DEL,DEL1047,28/08/2025,10,PLY-383,2,10.16,21.14,23.25,20.08,21.14,Plywood,42.28
DEL,DEL1047,28/08/2025,20,ACE-917,4,10.06,17.12,18.83,16.26,17.12,Acero,68.48
DEL,DEL1047,28/08/2025,30,PLY-466,2,28.14,44.07,48.48,41.87,44.07,Plywood,88.14
DEL,DEL1048,26/04/2026,10,TUB-859,3,5.55,7.86,8.65,7.47,7.86,Tuberías,23.58
DEL,DEL1048,26/04/2026,20,CEM-896,5,8.98,10.17,11.19,9.66,10.17,Cemento,50.85
DEL,DEL1048,26/04/2026,30,PLY-729,3,25.78,46.84,51.52,44.5,46.84,Plywood,140.52
DEL,DEL1049,02/09/2025,10,CEM-967,5,38.74,43.82,48.2,41.63,43.82,Cemento,219.1
DEL,DEL1049,02/09/2025,20,CEM-175,5,29.01,38.04,41.84,36.14,38.04,Cemento,190.2
DEL,DEL1049,02/09/2025,30,ELÉ-381,3,16.27,27.12,29.83,25.76,27.12,Eléctrico,81.36
DEL,DEL1049,02/09/2025,40,TUB-711,5,25.49,41.66,45.83,39.58,41.66,Tuberías,208.3
DEL,DEL1050,17/06/2025,10,CEM-973,2,26.19,30.05,33.06,28.55,30.05,Cemento,60.1
DEL,DEL1050,17/06/2025,20,TUB-540,3,35.72,55.58,61.14,52.8,55.58,Tuberías,166.74
DEL,DEL1050,17/06/2025,30,CEM-508,5,13.0,16.22,17.84,15.41,16.22,Cemento,81.1
DEL,DEL1050,17/06/2025,40,CEM-483,4,8.33,10.7,11.77,10.16,10.7,Cemento,42.8
DEL,DEL1051,05/06/2025,10,PLY-862,2,34.11,54.78,60.26,52.04,54.78,Plywood,109.56
DEL,DEL1051,05/06/2025,20,PIN-675,6,33.41,50.55,55.61,48.02,50.55,Pinturas,303.3
DEL,DEL1051,05/06/2025,30,TUB-988,5,28.45,42.32,46.55,40.2,42.32,Tuberías,211.6
DEL,DEL1051,05/06/2025,40,FER-460,4,6.8,13.08,14.39,12.43,13.08,Ferretería,52.32
DEL,DEL1051,05/06/2025,50,PLY-329,5,22.76,37.37,41.11,35.5,37.37,Plywood,186.85
DEL,DEL1052,28/11/2025,10,PLY-687,4,24.47,39.61,43.57,37.63,39.61,Plywood,158.44
DEL,DEL1052,28/11/2025,20,PLY-728,6,20.02,37.66,41.43,35.78,37.66,Plywood,225.96
DEL,DEL1053,22/06/2025,10,TUB-284,2,28.02,45.54,50.09,43.26,45.54,Tuberías,91.08
DEL,DEL1053,22/06/2025,20,PLY-106,4,31.68,66.31,72.94,62.99,66.31,Plywood,265.24
DEL,DEL1054,06/11/2025,10,TUB-193,2,19.03,25.81,28.39,24.52,25.81,Tuberías,51.62
DEL,DEL1054,06/11/2025,20,PIN-261,4,12.53,18.15,19.96,17.24,18.15,Pinturas,72.6
DEL,DEL1054,06/11/2025,30,PLY-710,6,30.26,60.77,66.85,57.73,60.77,Plywood,364.62
DEL,DEL1055,03/04/2026,10,PLY-378,2,31.41,49.64,54.6,47.16,49.64,Plywood,99.28
DEL,DEL1055,03/04/2026,20,CEM-379,5,19.84,26.99,29.69,25.64,26.99,Cemento,134.95
DEL,DEL1056,07/08/2025,10,PLY-598,6,8.88,17.32,19.05,16.45,17.32,Plywood,103.92
DEL,DEL1056,07/08/2025,20,CEM-156,6,15.79,18.92,20.81,17.97,18.92,Cemento,113.52
DEL,DEL1057,01/05/2025,10,PLY-396,4,12.39,20.22,22.24,19.21,20.22,Plywood,80.88
DEL,DEL1057,01/05/2025,20,PLY-232,3,5.27,10.49,11.54,9.97,10.49,Plywood,31.47
DEL,DEL1057,01/05/2025,30,PLY-173,4,29.63,54.68,60.15,51.95,54.68,Plywood,218.72
DEL,DEL1058,13/06/2026,10,CEM-689,4,21.09,24.01,26.41,22.81,24.01,Cemento,96.04
DEL,DEL1058,13/06/2026,20,CEM-217,4,19.15,26.31,28.94,24.99,26.31,Cemento,105.24
DEL,DEL1059,13/09/2025,10,HER-951,5,11.02,20.87,22.96,19.83,20.87,Herramientas,104.35
DEL,DEL1059,13/09/2025,20,TUB-349,2,17.66,26.49,29.14,25.17,26.49,Tuberías,52.98
DEL,DEL1060,14/02/2025,10,CEM-326,4,18.85,23.29,25.62,22.13,23.29,Cemento,93.16
DEL,DEL1060,14/02/2025,20,PLY-643,2,10.88,20.14,22.15,19.13,20.14,Plywood,40.28
DEL,DEL1060,14/02/2025,30,CEM-341,3,36.71,45.97,50.57,43.67,45.97,Cemento,137.91
DEL,DEL1060,14/02/2025,40,PLY-878,3,13.96,23.08,25.39,21.93,23.08,Plywood,69.24
DEL,DEL1060,14/02/2025,50,PIN-575,5,7.64,12.99,14.29,12.34,12.99,Pinturas,64.95
DEL,DEL1061,25/02/2025,10,TUB-430,6,35.87,57.42,63.16,54.55,57.42,Tuberías,344.52
DEL,DEL1061,25/02/2025,20,ELÉ-580,2,26.95,44.97,49.47,42.72,44.97,Eléctrico,89.94
DEL,DEL1061,25/02/2025,30,CEM-460,2,15.6,19.04,20.94,18.09,19.04,Cemento,38.08
DEL,DEL1061,25/02/2025,40,CEM-477,2,15.86,20.54,22.59,19.51,20.54,Cemento,41.08
DEL,DEL1061,25/02/2025,50,ACE-729,2,7.69,16.56,18.22,15.73,16.56,Acero,33.12
DEL,DEL1062,20/03/2025,10,CEM-560,2,24.4,35.08,38.59,33.33,35.08,Cemento,70.16
DEL,DEL1062,20/03/2025,20,FER-587,6,25.01,46.47,51.12,44.15,46.47,Ferretería,278.82
DEL,DEL1062,20/03/2025,30,CEM-831,4,38.52,49.87,54.86,47.38,49.87,Cemento,199.48
DEL,DEL1062,20/03/2025,40,PLY-549,5,27.61,43.46,47.81,41.29,43.46,Plywood,217.3
DEL,DEL1062,20/03/2025,50,CEM-496,4,26.34,33.14,36.45,31.48,33.14,Cemento,132.56
DEL,DEL1063,14/12/2025,10,TUB-167,4,6.83,10.89,11.98,10.35,10.89,Tuberías,43.56
DEL,DEL1063,14/12/2025,20,PLY-841,4,24.53,43.63,47.99,41.45,43.63,Plywood,174.52
DEL,DEL1063,14/12/2025,30,ACE-441,3,38.75,77.19,84.91,73.33,77.19,Acero,231.57
DEL,DEL1063,14/12/2025,40,PLY-771,4,28.23,59.01,64.91,56.06,59.01,Plywood,236.04
DEL,DEL1064,23/03/2026,10,PLY-485,6,29.81,47.72,52.49,45.33,47.72,Plywood,286.32
DEL,DEL1064,23/03/2026,20,TUB-195,6,16.5,22.26,24.49,21.15,22.26,Tuberías,133.56
DEL,DEL1064,23/03/2026,30,TUB-416,4,19.82,29.01,31.91,27.56,29.01,Tuberías,116.04
DEL,DEL1064,23/03/2026,40,PLY-296,5,12.5,26.36,29.0,25.04,26.36,Plywood,131.8
DEL,DEL1064,23/03/2026,50,PLY-619,2,9.81,15.66,17.23,14.88,15.66,Plywood,31.32
DEL,DEL1065,25/08/2025,10,TUB-485,6,35.67,56.66,62.33,53.83,56.66,Tuberías,339.96
DEL,DEL1065,25/08/2025,20,PLY-928,6,11.33,22.19,24.41,21.08,22.19,Plywood,133.14
DEL,DEL1066,06/02/2025,10,PLY-725,5,17.75,35.05,38.55,33.3,35.05,Plywood,175.25
DEL,DEL1066,06/02/2025,20,PLY-344,6,31.2,56.63,62.29,53.8,56.63,Plywood,339.78
DEL,DEL1066,06/02/2025,30,PLY-476,3,33.3,60.84,66.92,57.8,60.84,Plywood,182.52
DEL,DEL1066,06/02/2025,40,TUB-896,4,24.96,37.49,41.24,35.62,37.49,Tuberías,149.96
DEL,DEL1066,06/02/2025,50,PLY-920,3,23.46,49.73,54.7,47.24,49.73,Plywood,149.19
DEL,DEL1067,20/08/2025,10,ELÉ-667,4,6.83,12.74,14.01,12.1,12.74,Eléctrico,50.96
DEL,DEL1067,20/08/2025,20,FER-391,2,29.9,62.0,68.2,58.9,62.0,Ferretería,124.0
DEL,DEL1067,20/08/2025,30,PLY-250,6,10.61,19.26,21.19,18.3,19.26,Plywood,115.56
DEL,DEL1068,27/06/2026,10,PLY-127,4,36.87,74.9,82.39,71.16,74.9,Plywood,299.6
DEL,DEL1068,27/06/2026,20,CEM-183,5,18.88,23.84,26.22,22.65,23.84,Cemento,119.2
DEL,DEL1068,27/06/2026,30,PLY-910,4,5.99,12.57,13.83,11.94,12.57,Plywood,50.28
DEL,DEL1068,27/06/2026,40,PLY-812,5,6.34,13.26,14.59,12.6,13.26,Plywood,66.3
DEL,DEL1068,27/06/2026,50,ACE-105,6,31.56,60.28,66.31,57.27,60.28,Acero,361.68
DEL,DEL1069,03/10/2025,10,PLY-640,6,34.22,64.13,70.54,60.92,64.13,Plywood,384.78
DEL,DEL1069,03/10/2025,20,CEM-148,2,32.17,38.77,42.65,36.83,38.77,Cemento,77.54
DEL,DEL1070,08/06/2026,10,TUB-711,5,26.8,35.31,38.84,33.54,35.31,Tuberías,176.55
DEL,DEL1070,08/06/2026,20,CEM-398,3,27.12,36.53,40.18,34.7,36.53,Cemento,109.59
DEL,DEL1070,08/06/2026,30,CEM-291,5,26.52,32.0,35.2,30.4,32.0,Cemento,160.0
DEL,DEL1070,08/06/2026,40,TUB-638,2,8.0,14.1,15.51,13.39,14.1,Tuberías,28.2
